Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000115	Phosphoribosylglycinamide synthetase	interpro	family		TIGR00877,MF_00138	GO:0004637,GO:0009113
IPR000116	High mobility group protein HMGA	interpro	family		PR00930	GO:0003677,GO:0006355,GO:0000785,GO:0005634
IPR000117	Kappa casein	interpro	family		PTHR11470,PIRSF002374,PF00997	GO:0005576
IPR000119	Histone-like DNA-binding protein	interpro	family		PR01727,SM00411,PF00216,PTHR33175	GO:0003677
IPR000120	Amidase	interpro	family		PTHR11895	GO:0016787
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	interpro	family		PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000124	Spermadhesin	interpro	family		PS00985,PS00986	GO:0007338
IPR000125	Glycoside hydrolase, family 14A, bacterial	interpro	family		PR00841	GO:0016161,GO:0005976
IPR000128	Progesterone receptor	interpro	family		PF02161,PR00544	GO:0003677,GO:0003707,GO:0005496,GO:0006355,GO:0043401,GO:0005634
IPR000131	ATP synthase, F1 complex, gamma subunit	interpro	family		PR00126,PF00231,PTHR11693,TIGR01146,MF_00815,cd12151	GO:0046933,GO:0015986,GO:0045261
IPR000133	ER lumen protein retaining receptor	interpro	family		PF00810,PR00660,PTHR10585,PS00951,PS00952	GO:0046923,GO:0006621,GO:0016021
IPR000136	Oleosin	interpro	family		PF01277,PS00811,PTHR33203	GO:0012511,GO:0016021
IPR000141	Prostaglandin F receptor	interpro	family		PR00855,PTHR11866:SF4	GO:0004958,GO:0007186,GO:0016021
IPR000142	P2Y purinoceptor 1	interpro	family		PR00595,PTHR24231:SF2	GO:0045028,GO:0007200,GO:0030168,GO:0090075,GO:0016021
IPR000143	Geminivirus MSV 27Kd coat protein	interpro	family		PR00226	GO:0005198,GO:0019028
IPR000144	GPCR, family 3, metabotropic glutamate receptor 8	interpro	family		PR01058	GO:0007186,GO:0016021
IPR000145	Outer capsid protein VP5, Orbivirus	interpro	family		PF00901	GO:0005198,GO:0019028
IPR000146	Fructose-1,6-bisphosphatase class 1	interpro	family		MF_01855,cd00354,PTHR11556,PIRSF000904	GO:0016791,GO:0005975
IPR000147	Angiotensin II receptor type 2	interpro	family		PR00636	GO:0004945,GO:0006954,GO:0007186,GO:0042981,GO:0097746,GO:0016021
IPR000148	Papillomavirus E7	interpro	family		PIRSF003407,PF00527,MF_04004	GO:0003677,GO:0003700,GO:0006355
IPR000149	Haemagglutinin, influenzavirus A	interpro	family		PR00330	GO:0046789,GO:0019064,GO:0019031
IPR000150	Cof family	interpro	family		TIGR00099	GO:0016787
IPR000151	Ciliary neurotrophic factor, CNTF	interpro	family		PF01110,PTHR15196	GO:0005127,GO:0043524,GO:0070120
IPR000153	Reovirus, outer capsid sigma 3	interpro	family		PF00979	GO:0005198,GO:0019058
IPR000154	Prostanoid EP3 receptor type 3	interpro	family		PR00585	GO:0004957,GO:0007186,GO:0016021
IPR000155	Melanocortin 4 receptor	interpro	family		PR01062	GO:0004977,GO:0007186,GO:0016021
IPR000158	Cell division protein FtsZ	interpro	family		TIGR00065,cd02201,MF_00909	GO:0005525
IPR000161	Vasopressin V2 receptor	interpro	family		PR00898	GO:0005000,GO:0007186,GO:0016021
IPR000162	GPCR, family 3, metabotropic glutamate receptor	interpro	family		PR00593	GO:0007186,GO:0016021
IPR000163	Prohibitin	interpro	family		PR00679,PTHR23222,cd03401	GO:0016020
IPR000164	Histone H3/CENP-A	interpro	family		PTHR11426,PS00322,PS00959,PR00622,SM00428	GO:0003677,GO:0000786
IPR000165	Glucoamylase	interpro	family		PS00820,PR00736	GO:0004339,GO:0005976
IPR000167	Dehydrin	interpro	family		PF00257,PTHR33346	GO:0009415
IPR000174	CXC chemokine receptor 1/2	interpro	family		PR00427	GO:0016494,GO:0006935,GO:0007186,GO:0016021
IPR000175	Sodium:neurotransmitter symporter	interpro	family		PR00176,PF00209,PTHR11616,PS00754,PS00610,PS50267	GO:0016021
IPR000176	mRNA methyltransferase-like	interpro	family		PF01358	
IPR000178	Translation initiation factor aIF-2, bacterial-like	interpro	family		TIGR00487,MF_00100_B,PS01176	GO:0003743,GO:0005525,GO:0006413
IPR000183	Ornithine/DAP/Arg decarboxylase	interpro	family		PR01179	GO:0003824
IPR000185	Protein translocase subunit SecA	interpro	family		TIGR00963,PR00906,MF_01382,PTHR30612	GO:0005524,GO:0006605,GO:0006886
IPR000186	Interleukin-5	interpro	family		PR00432,PF02025	GO:0005137,GO:0008083,GO:0006955,GO:0005576
IPR000190	Angiotensin II receptor type 1	interpro	family		PR00635	GO:0004945,GO:0007186,GO:0019229,GO:0016021
IPR000200	Peptidase C10, streptopain	interpro	family		PR00797,PF01640	GO:0008234,GO:0006508
IPR000202	GPCR, family 3, metabotropic glutamate receptor 5	interpro	family		PR01055	GO:0007186,GO:0016021
IPR000204	Orexin receptor family	interpro	family		PR01064	GO:0016499,GO:0007186,GO:0007631,GO:0016021
IPR000206	Ribosomal protein L7/L12	interpro	family		TIGR00855,MF_00368,cd00387	GO:0003735,GO:0006412,GO:0005840
IPR000207	Alpha 2B adrenoceptor	interpro	family		PR00559	GO:0004938,GO:0006940,GO:0007186,GO:0019229,GO:0030168,GO:0016021
IPR000211	Geminivirus BL1 movement protein	interpro	family		PF00845	GO:0003677,GO:0046740,GO:0033644
IPR000212	DNA helicase, UvrD/REP type	interpro	family		PTHR11070	GO:0003677,GO:0003678,GO:0005524
IPR000213	Vitamin D-binding protein	interpro	family		PR00804,PTHR11385:SF11	GO:0005499,GO:0090482,GO:0051180,GO:0005615
IPR000215	Serpin family	interpro	family		PTHR11461	GO:0005615
IPR000217	Tubulin	interpro	family		PR01161,PTHR11588	GO:0007017,GO:0005874
IPR000218	Ribosomal protein L14P	interpro	family		PF00238,PTHR11761,MF_01367,SM01374	GO:0003735,GO:0006412,GO:0005840
IPR000221	Protamine P1	interpro	family		PF00260,PS00048	GO:0003677,GO:0007283,GO:0000786,GO:0005634
IPR000223	Peptidase S26A, signal peptidase I	interpro	family		PR00727,TIGR02227	GO:0008236,GO:0006508,GO:0016020
IPR000227	Angiotensinogen	interpro	family		PR00654,PTHR11461:SF13	GO:0003081
IPR000228	RNA 3'-terminal phosphate cyclase	interpro	family		PTHR11096,PIRSF005378	GO:0006396
IPR000229	Nucleocapsid protein, arenaviridae	interpro	family		PIRSF004029,MF_04085	GO:0019013
IPR000231	Ribosomal protein L30e	interpro	family		PTHR11449:SF12,PTHR11449:SF1,PTHR11449:SF20,MF_00481	GO:0003723,GO:0003735,GO:0022625
IPR000234	Herpesvirus Glycoprotein B	interpro	family		MF_04032	
IPR000235	Ribosomal protein S5/S7	interpro	family		PTHR11205,PIRSF002122	GO:0006412
IPR000236	Transactivation protein X	interpro	family		MF_04074,PF00739	GO:0019079
IPR000238	Ribosome-binding factor A	interpro	family		PF02033,TIGR00082,MF_00003,PTHR33515	GO:0006364
IPR000239	GPCR kinase	interpro	family		PR00717	GO:0004703,GO:0005524,GO:0006468,GO:0007165
IPR000240	Serpin B9/maspin	interpro	family		PR00676	GO:0004867
IPR000243	Peptidase T1A, proteasome beta-subunit	interpro	family		PR00141	GO:0004175,GO:0051603,GO:0005839
IPR000244	Ribosomal protein L9	interpro	family		PTHR21368	GO:0003735,GO:0006412,GO:0005840
IPR000245	V-ATPase proteolipid subunit	interpro	family		PR00122	GO:0015078,GO:1902600,GO:0033179
IPR000246	Peptidase T2, asparaginase 2	interpro	family		PF01112,PTHR10188	GO:0016787
IPR000247	Cucumovirus coat protein	interpro	family		PR00222	GO:0005198,GO:0019028
IPR000248	Angiotensin II receptor family	interpro	family		PR00241	GO:0007186,GO:0016021
IPR000250	Peptidase G1	interpro	family		PF01828,PR00977,PTHR37536	GO:0004190,GO:0006508
IPR000256	Influenza A virus NS1 protein	interpro	family		PF00600	GO:0003723
IPR000263	Geminivirus AR1/BR1 coat protein	interpro	family		PR00223,PF00844	GO:0005198,GO:0019028
IPR000264	ALB/AFP/VDB	interpro	family		PR00802,PTHR11385	GO:0005615
IPR000265	Prostanoid EP3 receptor	interpro	family		PR00582,PTHR11866:SF10	GO:0004957,GO:0007186,GO:0016021
IPR000266	Ribosomal protein S17/S11	interpro	family		PF00366,PR00973,PTHR10744	GO:0003735,GO:0006412,GO:0005840
IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	interpro	family		PF01194,PIRSF005653,MF_00250,PTHR23431	GO:0003677,GO:0003899,GO:0006351
IPR000269	Copper amine oxidase	interpro	family		PR00766,PTHR10638,PS01164,PS01165	GO:0005507,GO:0008131,GO:0048038,GO:0009308,GO:0055114
IPR000271	Ribosomal protein L34	interpro	family		PF00468,TIGR01030,MF_00391,PTHR14503	GO:0003735,GO:0006412,GO:0005840
IPR000272	Ion-transport regulator, FXYD motif	interpro	family		PF02038,PS01310	GO:0099106,GO:0043269,GO:0016020
IPR000274	Adenylate cyclase, class-I	interpro	family		PF01295,PTHR38760,PIRSF001444	GO:0004016,GO:0006171
IPR000275	Coagulin	interpro	family		PF02035,PR00763,PIRSF002379	GO:0042381,GO:0005576
IPR000276	G protein-coupled receptor, rhodopsin-like	interpro	family		PR00237,PF00001,SM01381,PS00237	GO:0004930,GO:0007186,GO:0016021
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	interpro	family		PIRSF001434,PTHR11808,PF01053,PS00868,cd00614	GO:0030170,GO:0019346
IPR000286	Histone deacetylase family	interpro	family		PR01270	
IPR000289	Ribosomal protein S28e	interpro	family		PTHR10769,PF01200,MF_00292,cd04457	GO:0003735,GO:0006412,GO:0005840
IPR000290	Colicin immunity protein/pyocin immunity protein	interpro	family		PR01299,PF01320,cd16363	GO:0015643,GO:0030153
IPR000292	Formate/nitrite transporter	interpro	family		PF01226,TIGR00790,PTHR30520	GO:0022857,GO:0055085,GO:0016020
IPR000296	Cation-dependent mannose-6-phosphate receptor	interpro	family		PR00715	GO:0019904,GO:0006622,GO:0005768,GO:0005794
IPR000301	Tetraspanin	interpro	family		PR00259,PIRSF002419	GO:0016021
IPR000304	Pyrroline-5-carboxylate reductase	interpro	family		PIRSF000193,PS00521,TIGR00112,MF_01925	GO:0004735,GO:0006561,GO:0055114
IPR000307	Ribosomal protein S16	interpro	family		PF00886,TIGR00002,PTHR12919,MF_00385	GO:0003735,GO:0006412,GO:0005840
IPR000308	14-3-3 protein	interpro	family		PR00305,PTHR18860,PIRSF000868	
IPR000314	Gastrin receptor	interpro	family		PR00527	GO:0015054,GO:0007186,GO:0016021
IPR000316	Plant EC metallothionein-like protein, family 15	interpro	family		PR00877,PF02068	GO:0008270
IPR000321	Delta opioid receptor	interpro	family		PR00525	GO:0038046,GO:0007186,GO:0016021
IPR000322	Glycoside hydrolase family 31	interpro	family		PF01055	GO:0004553,GO:0005975
IPR000324	Vitamin D receptor	interpro	family		PR00350	GO:0003677,GO:0004879,GO:0006355,GO:0005634
IPR000329	Uteroglobin	interpro	family		PR00486	GO:0007165
IPR000332	Beta 2 adrenoceptor	interpro	family		PR00562,PTHR24248:SF21	GO:0004941,GO:0006940,GO:0007189,GO:0097746,GO:0016021
IPR000333	Ser/Thr protein kinase, TGFB receptor	interpro	family		PR00653,PTHR23255	GO:0004675,GO:0005524,GO:0007178,GO:0016020
IPR000335	Bleomycin resistance protein	interpro	family		PR00311	GO:0008144,GO:0046677
IPR000337	GPCR, family 3	interpro	family		PR00248	GO:0004930,GO:0007186,GO:0016021
IPR000343	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase	interpro	family		TIGR01035,PIRSF000445,MF_00087	GO:0008883,GO:0050661,GO:0033014,GO:0055114
IPR000344	7TM GPCR, serpentine receptor class a (Sra)	interpro	family		PF02117,PR00697	GO:0004930,GO:0007606,GO:0016021
IPR000346	Hyperglycemic hormone type 1	interpro	family		PR00548	GO:0005184,GO:0005576
IPR000347	Metallothionein, family 15, plant	interpro	family		PF01439,PTHR33543	GO:0046872
IPR000349	Large envelope protein S	interpro	family		PF00695,MF_04075	GO:0016032
IPR000351	Neuropeptide Y1 receptor	interpro	family		PR01013,PTHR24235:SF24	GO:0004983,GO:0007186,GO:0016021
IPR000355	Chemokine receptor family	interpro	family		PR00657	GO:0004950,GO:0006935,GO:0007186,GO:0016021
IPR000356	P2Y2 purinoceptor	interpro	family		PR00594,PTHR24231:SF17	GO:0045028,GO:0007200,GO:0070257,GO:0097746,GO:0016021
IPR000358	Ribonucleotide reductase small subunit family	interpro	family		PF00268,PTHR23409,PIRSF000355	GO:0009263
IPR000362	Fumarate lyase family	interpro	family		PR00149	
IPR000363	Alpha 1D adrenoceptor	interpro	family		PR00240,PTHR24248:SF14	GO:0004937,GO:0007186,GO:0016021
IPR000366	GPCR fungal pheromone mating factor, STE2	interpro	family		PR00250,PF02116,PTHR28009	GO:0004932,GO:0007186,GO:0016020
IPR000367	G-protein alpha subunit, group S	interpro	family		PR00443	GO:0003924,GO:0005525,GO:0031683,GO:0007186
IPR000369	Potassium channel, voltage-dependent, beta subunit, KCNE	interpro	family		PTHR15282,PF02060,PR00168	GO:0005249,GO:0006811,GO:0016020
IPR000370	Prostacyclin (prostanoid IP) receptor	interpro	family		PR00856,PTHR11866:SF7	GO:0007186,GO:0016021
IPR000371	P2Y3 purinoceptor	interpro	family		PR01065	GO:0045028,GO:0007200,GO:0016021
IPR000374	Phosphatidate cytidylyltransferase	interpro	family		PS01315	GO:0016772,GO:0016020
IPR000376	Prostaglandin D receptor	interpro	family		PR00854,PTHR11866:SF14	GO:0004956,GO:0007186,GO:0016021
IPR000377	5-Hydroxytryptamine 2C receptor	interpro	family		PR00517,PTHR24247:SF32	GO:0004993,GO:0007186,GO:0007626,GO:0007631,GO:0005887
IPR000378	Opsin red/green sensitive	interpro	family		PR00575	GO:0007186,GO:0007601,GO:0007602,GO:0016021
IPR000380	DNA topoisomerase, type IA	interpro	family		PTHR11390,PTHR42785	GO:0003677,GO:0003917,GO:0006265
IPR000381	Inhibin, beta B subunit	interpro	family		PTHR11848:SF29	GO:0005179,GO:0005576
IPR000386	Haemagglutinin, influenzavirus B	interpro	family		PR00331	GO:0046789,GO:0019064,GO:0019031
IPR000388	Sulphonylurea receptor	interpro	family		PR01092	GO:0005524,GO:0008281,GO:0006813,GO:0016020
IPR000389	Small hydrophilic plant seed protein	interpro	family		PTHR34671	
IPR000390	Small multidrug resistance protein family	interpro	family		PF00893,PTHR30561	GO:0016021
IPR000391	Ring-hydroxylating dioxygenase beta subunit	interpro	family		PF00866,PTHR41534,cd00667	GO:0006725,GO:0055114
IPR000392	NifH/frxC family	interpro	family		PF00142,PTHR42864,PIRSF000363,PS51026	GO:0005524,GO:0016491,GO:0055114
IPR000393	Neuropeptide Y5 receptor	interpro	family		PR01016,PTHR24241:SF139,cd15398	GO:0004983,GO:0007186,GO:0016021
IPR000394	RNA polymerase sigma factor 54	interpro	family		PR00045,TIGR02395,PF00309,PS00717,PS00718,PTHR32248,PIRSF000774	GO:0001216,GO:0016987
IPR000396	Cyclic-AMP phosphodiesterase, class-II	interpro	family		PF02112,PR00388,PIRSF000962,PTHR28283,cd07735	GO:0004115,GO:0006198
IPR000397	Heat shock protein Hsp33	interpro	family		PIRSF005261,PF01430,MF_00117,PTHR30111,cd00498	GO:0051082,GO:0006457,GO:0005737
IPR000398	Thymidylate synthase	interpro	family		TIGR03284,PR00108,MF_00008	GO:0004799,GO:0006231
IPR000400	Glycoside hydrolase, family 46	interpro	family		PIRSF036551,PF01374,PS60000,cd00978	GO:0016977,GO:0005975,GO:0005576
IPR000402	Sodium/potassium-transporting ATPase subunit beta	interpro	family		PF00287,PTHR11523,PS00391,PS00390,TIGR01107	GO:0006813,GO:0006814,GO:0005890
IPR000405	Galanin receptor family	interpro	family		PR00663	GO:0007186,GO:0016021
IPR000406	Rho protein GDP-dissociation inhibitor	interpro	family		PR00492,PTHR10980,PF02115	GO:0005094,GO:0005737
IPR000407	Nucleoside phosphatase GDA1/CD39	interpro	family		PF01150,PTHR11782,PS01238	GO:0016787
IPR000412	ABC-2 transporter	interpro	family		PR00164,PIRSF006648,PS51012	GO:0055085,GO:0016021,GO:0043190
IPR000413	Integrin alpha chain	interpro	family		PR01185	GO:0007155,GO:0008305
IPR000417	Hydroxyethylthiazole kinase	interpro	family		PIRSF000513,PR01099,TIGR00694,PF02110,MF_00228,cd01170	GO:0004417,GO:0009228
IPR000422	3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB	interpro	family		TIGR00506,PF00926,MF_00180	GO:0008686,GO:0009231
IPR000424	Primosome PriB/single-strand DNA-binding	interpro	family		PF00436,PS50935,cd04496	GO:0003697
IPR000425	Major intrinsic protein	interpro	family		TIGR00861,PF00230,cd00333,PR00783	GO:0015267,GO:0055085,GO:0016020
IPR000428	Copper ion binding protein	interpro	family		PR00944	GO:0005507,GO:0006825
IPR000429	Proteinase inhibitor I14, hirudin	interpro	family		PIRSF001640,PF00713,PR00777	GO:0004867
IPR000431	5-Hydroxytryptamine 5B receptor	interpro	family		PR00519	GO:0004993,GO:0007186,GO:0016021
IPR000434	Polycystic kidney disease type 1 protein	interpro	family		PR00500	GO:0001822,GO:0016021
IPR000435	Tektin	interpro	family		PR00511,PTHR19960	
IPR000438	Acetyl-CoA carboxylase carboxyl transferase, beta subunit	interpro	family		PR01070,TIGR00515,MF_01395	GO:0003989,GO:0006633,GO:0009317
IPR000439	Ribosomal protein L15e	interpro	family		PTHR11847,PF00827,SM01384	GO:0003735,GO:0006412,GO:0005840
IPR000440	NADH:ubiquinone/plastoquinone oxidoreductase, chain 3	interpro	family		PTHR11058,PF00507	GO:0008137,GO:0055114
IPR000443	Pro-islet amyloid polypeptide	interpro	family		PR00818,PTHR10505:SF4	GO:0005179,GO:0005576
IPR000447	FAD-dependent glycerol-3-phosphate dehydrogenase	interpro	family		PR01001,PTHR11985,PS00977	GO:0004368,GO:0006072,GO:0055114,GO:0009331
IPR000450	5-Hydroxytryptamine 1F receptor	interpro	family		PTHR24247:SF34	GO:0004993,GO:0007186,GO:0005887
IPR000451	NF-kappa-B/Dorsal	interpro	family		PR00057,PTHR24169	GO:0003700,GO:0006355,GO:0005737,GO:0042025
IPR000452	Kappa opioid receptor	interpro	family		PR00532	GO:0038048,GO:0007186,GO:0016021
IPR000453	Chorismate synthase	interpro	family		PF01264,TIGR00033,PTHR21085,PIRSF001456,MF_00300,cd07304	GO:0004107,GO:0009073
IPR000454	ATP synthase, F0 complex, subunit C	interpro	family		PR00124,MF_01396,PTHR10031	GO:0015078,GO:0015986,GO:0045263
IPR000455	5-Hydroxytryptamine 2A receptor	interpro	family		PR00516,PTHR24247:SF30	GO:0004993,GO:0007186,GO:0005887
IPR000456	Ribosomal protein L17	interpro	family		PF01196,TIGR00059,PTHR14413,MF_01368,PS01167	GO:0003735,GO:0006412,GO:0005840
IPR000458	Mucin-like glycoprotein	interpro	family		PF01456	
IPR000460	Neuroligin	interpro	family		PR01090	GO:0042043,GO:0016020
IPR000462	CDP-alcohol phosphatidyltransferase	interpro	family		PF01066,PS00379	GO:0016780,GO:0008654,GO:0016020
IPR000465	XPA	interpro	family		TIGR00598,PTHR10142	GO:0003684,GO:0006289,GO:0042025
IPR000466	Adenosine A3 receptor	interpro	family		PR00555	GO:0007186,GO:0016021
IPR000469	G-protein alpha subunit, group 12/13	interpro	family		PR00440	GO:0001664,GO:0003924,GO:0007186,GO:0007266
IPR000470	CbxX/CfxQ, monofunctional	interpro	family		PR00820,TIGR02880	GO:0005524
IPR000471	Interferon alpha/beta/delta	interpro	family		PR00266,PS00252,PF00143,PTHR11691,SM00076,cd00095	GO:0005126,GO:0006952,GO:0005576
IPR000473	Ribosomal protein L36	interpro	family		PF00444,TIGR01022,MF_00251,PS00828,PTHR42888	GO:0003735,GO:0006412,GO:0005840
IPR000475	Retroviral Vif (Viral infectivity) protein	interpro	family		PR00349,MF_04081,PF00559	GO:0019058
IPR000476	Glycoprotein hormone alpha chain	interpro	family		PS50277,PR00274,PF00236,PTHR11509,SM00067,PS00779,PS00780	GO:0005179,GO:0005576
IPR000480	Glutelin	interpro	family		PR00211	GO:0045735
IPR000481	GPCR fungal pheromone B alpha receptor	interpro	family		PR00901	GO:0004934,GO:0007186,GO:0016020
IPR000482	5-Hydroxytryptamine 2B receptor	interpro	family		PR00651,PTHR24247:SF31	GO:0004993,GO:0006939,GO:0007186,GO:0007507,GO:0042310,GO:0050795,GO:0016021
IPR000484	Photosynthetic reaction centre, L/M	interpro	family		PR00256,PF00124,PS00244,PTHR33149	GO:0045156,GO:0009772,GO:0019684
IPR000490	Glycoside hydrolase family 17	interpro	family		PF00332,PS00587	GO:0004553,GO:0005975
IPR000491	Inhibin, beta A subunit	interpro	family		PR00670	GO:0005179,GO:0005576
IPR000492	Protamine-2	interpro	family		PTHR21341,PF00841	GO:0003677,GO:0006323,GO:0007286
IPR000493	Inositol 1,4,5-trisphosphate receptor	interpro	family		PR00779,PTHR45816	GO:0005220,GO:0070679,GO:0006816,GO:0005783
IPR000496	Bradykinin receptor family	interpro	family		PR00425	GO:0004947,GO:0007186,GO:0016021
IPR000497	Dopamine D5 receptor	interpro	family		PR00566,PTHR24248:SF136	GO:0004952,GO:0007189,GO:0005887
IPR000499	Endothelin receptor family	interpro	family		PR00366	GO:0004962,GO:0007186,GO:0008217,GO:0042310,GO:0048484,GO:0016021
IPR000500	Connexin	interpro	family		PR00206,PTHR11984	GO:0007154,GO:0005922
IPR000501	Tripartite terminase subunit 1	interpro	family		PF01366,MF_04014	GO:0019073
IPR000502	Muscarinic acetylcholine receptor M5	interpro	family		PR00542	GO:0016907,GO:0001696,GO:0007186,GO:0005887
IPR000503	Histamine H2 receptor	interpro	family		PR00531	GO:0004969,GO:0001696,GO:0007186,GO:0045907,GO:0016021
IPR000505	5-Hydroxytryptamine 1D receptor	interpro	family		PR00514,PTHR24247:SF17	GO:0004993,GO:0006939,GO:0007186,GO:0007268,GO:0040012,GO:0042310,GO:0050795,GO:0005887
IPR000507	Beta 1 adrenoceptor	interpro	family		PR00561	GO:0004940,GO:0007189,GO:0045823,GO:0016021
IPR000509	Ribosomal protein L36e	interpro	family		PF01158,PTHR10114,PS01190	GO:0003735,GO:0006412,GO:0005840
